id ;pg ;wilayah;lokasi
1;PG1;AW01;001D
2;PG1;AW01;002A1
3;PG1;AW01;002A2
4;PG1;AW01;002B2
5;PG1;AW01;004F
6;PG1;AW01;004H1
7;PG1;AW01;004H2
8;PG1;AW01;005F4
9;PG1;AW01;007A2
10;PG1;AW01;007A3
11;PG1;AW01;007A4
12;PG1;AW01;009A1
13;PG1;AW01;009A2
14;PG1;AW01;009B
15;PG1;AW01;009B2
16;PG1;AW01;009C
17;PG1;AW01;009E
18;PG1;AW01;010FS
19;PG1;AW01;012DS
20;PG1;AW01;021A
21;PG1;AW01;021C2
22;PG1;AW01;021C3
23;PG1;AW01;021D
24;PG1;AW01;021E
25;PG1;AW01;021F1
26;PG1;AW01;021F2
27;PG1;AW01;022A
28;PG1;AW01;002BS1
29;PG1;AW01;004IS
30;PG1;AW01;004KS
31;PG1;AW01;004L
32;PG1;AW01;012ES
33;PG1;AW01;021E1
34;PG1;AW01;PSTPG1
35;PG1;AW02;013ES
36;PG1;AW02;017A
37;PG1;AW02;017AS
38;PG1;AW02;017C
39;PG1;AW02;017F
40;PG1;AW02;017G
41;PG1;AW02;017G1
42;PG1;AW02;017I
43;PG1;AW02;017M
44;PG1;AW02;024F1
45;PG1;AW02;024F2
46;PG1;AW02;030H2
47;PG1;AW02;030H3
48;PG1;AW02;030H4
49;PG1;AW02;033A
50;PG1;AW02;033C
51;PG1;AW02;033D
52;PG1;AW02;034A
53;PG1;AW02;034C
54;PG1;AW02;034D2
55;PG1;AW02;034D3
56;PG1;AW02;034E1
57;PG1;AW02;013G3
58;PG1;AW02;014BS
59;PG1;AW02;019I
60;PG1;AW02;024G2
61;PG1;AW02;024IS
62;PG1;AW02;033CS
63;PG1;AW03;060E
64;PG1;AW03;058BS
65;PG1;AW03;059GS1
66;PG1;AW03;059I2
67;PG1;AW03;059IS
68;PG1;AW03;054C
69;PG1;AW03;054E
70;PG1;AW03;055C1
71;PG1;AW03;055C2
72;PG1;AW03;055C3
73;PG1;AW03;055I
74;PG1;AW03;056A
75;PG1;AW03;056B
76;PG1;AW03;056F
77;PG1;AW03;056F1
78;PG1;AW03;056G1
79;PG1;AW03;056G2
80;PG1;AW03;061C2
81;PG1;AW03;061C3
82;PG1;AW03;061C4
83;PG1;AW03;061C5
84;PG1;AW03;064A
85;PG1;AW03;065A2
86;PG1;AW03;065A3
87;PG1;AW03;065A4
88;PG1;AW03;065A5
89;PG1;AW03;065B4
90;PG1;AW03;065B5
91;PG1;AW03;065D2
92;PG1;AW03;065D3
93;PG1;AW03;065D4
94;PG1;AW03;044AS
95;PG1;AW03;045A3
96;PG1;AW03;046AS
97;PG1;AW03;053B
98;PG1;AW03;055KS
99;PG1;AW03;060D
100;PG1;AW03;061ES
101;PG1;AW03;062AS
102;PG1;AW03;063BM
103;PG1;AW03;063BS
104;PG1;AW03;063GS
105;PG1;AW03;063IS
106;PG1;AW03;063S
107;PG1;AW03;064C2
108;PG1;AW03;065C1
109;PG1;AW03;065D1
110;PG1;AW04;041D1
111;PG1;AW04;041DS
112;PG1;AW04;015B2
113;PG1;AW04;027D
114;PG1;AW04;027G
115;PG1;AW04;027J
116;PG1;AW04;028C
117;PG1;AW04;037E
118;PG1;AW04;038C3
119;PG1;AW04;038C4
120;PG1;AW04;038E
121;PG1;AW04;039C2
122;PG1;AW04;049A1
123;PG1;AW04;049A2
124;PG1;AW04;050A1
125;PG1;AW04;050A2
126;PG1;AW04;050C1
127;PG1;AW04;050D
128;PG1;AW04;028CS3
129;PG1;AW04;038A1
130;PG1;AW04;039F
131;PG1;AW04;040C1
132;PG1;AW04;040CS
133;PG1;AW04;041B4
134;PG1;AW04;041G1
135;PG1;AW04;042L3
136;PG1;AW04;049FS
137;PG1;AW04;052CS
138;PG1;AW05;081C1
139;PG1;AW05;081AA1A
140;PG1;AW05;081AA1B
141;PG1;AW05;081AA1C
142;PG1;AW05;081AA1D
143;PG1;AW05;081AA2A
144;PG1;AW05;081AA2B
145;PG1;AW05;081AA2C
146;PG1;AW05;081AA2D
147;PG1;AW05;081AA3A
148;PG1;AW05;081AA3B
149;PG1;AW05;081AA3C
150;PG1;AW05;081AA3D
151;PG1;AW05;081AA4A
152;PG1;AW05;081AA4B
153;PG1;AW05;081AA4C
154;PG1;AW05;081AA4D
155;PG1;AW05;081AA5A
156;PG1;AW05;081AA5B
157;PG1;AW05;081AA5C
158;PG1;AW05;081AA5D
159;PG1;AW05;081AA6A
160;PG1;AW05;081AA6B
161;PG1;AW05;081AA6C
162;PG1;AW05;081AA6D
163;PG1;AW05;081AA7A
164;PG1;AW05;081AA7B
165;PG1;AW05;081AA7C
166;PG1;AW05;081AA7D
167;PG1;AW05;081AB1A
168;PG1;AW05;081AB1B
169;PG1;AW05;081AB1C
170;PG1;AW05;081AB1D
171;PG1;AW05;081AB2A
172;PG1;AW05;081AB2B
173;PG1;AW05;081AB2C
174;PG1;AW05;081AB2D
175;PG1;AW05;081AB3A
176;PG1;AW05;081AB3B
177;PG1;AW05;081AB3C
178;PG1;AW05;081AB3D
179;PG1;AW05;081AB4A
180;PG1;AW05;081AB4B
181;PG1;AW05;081AB4C
182;PG1;AW05;081AB4D
183;PG1;AW05;081AB5A
184;PG1;AW05;081AB5B
185;PG1;AW05;081AB5C
186;PG1;AW05;081AB5D
187;PG1;AW05;081AB6A
188;PG1;AW05;081AB6B
189;PG1;AW05;081AB6C
190;PG1;AW05;081AB6D
191;PG1;AW05;081AB7A
192;PG1;AW05;081AB7B
193;PG1;AW05;081AB7C
194;PG1;AW05;081AB7D
195;PG1;AW05;081AB8A
196;PG1;AW05;081AB8B
197;PG1;AW05;081AB8C
198;PG1;AW05;081AB8D
199;PG1;AW05;081AC1A
200;PG1;AW05;081AC1B
201;PG1;AW05;081AC1C
202;PG1;AW05;081AC1D
203;PG1;AW05;081AC2A
204;PG1;AW05;081AC2B
205;PG1;AW05;081AC2C
206;PG1;AW05;081AC2D
207;PG1;AW05;081AC3A
208;PG1;AW05;081AC3B
209;PG1;AW05;081AC3C
210;PG1;AW05;081AC3D
211;PG1;AW05;081AC4A
212;PG1;AW05;081AC4B
213;PG1;AW05;081AC4C
214;PG1;AW05;081AC4D
215;PG1;AW05;081AD1
216;PG1;AW05;081AD1A
217;PG1;AW05;081AD1B
218;PG1;AW05;081AD1C
219;PG1;AW05;081AD1D
220;PG1;AW05;081AD2A
221;PG1;AW05;081AD2B
222;PG1;AW05;081AD2C
223;PG1;AW05;081AD2D
224;PG1;AW05;081AD3A
225;PG1;AW05;081AD3B
226;PG1;AW05;081AD3C
227;PG1;AW05;081AD3D
228;PG1;AW05;081AD4A
229;PG1;AW05;081AD4B
